region,year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
Sub-Saharan Africa,1986,457835414.00,209116117.00,235081813.00,13637484.00,,0.00
Sub-Saharan Africa,1987,470938971.00,215232221.00,241637406.00,14069344.00,,0.00
Sub-Saharan Africa,1988,484357710.00,221214877.00,248651998.00,14490835.00,,0.00
Sub-Saharan Africa,1989,498102752.00,227085883.00,256113168.00,14903700.00,,3980.00
Sub-Saharan Africa,1990,512177101.00,232847085.00,264019312.00,15310704.00,,7880.00
Sub-Saharan Africa,1991,526599014.00,239180269.00,271612647.00,15806097.00,,9600.00
Sub-Saharan Africa,1992,541365685.00,245329651.00,279748785.00,16287248.00,,17406.00
Sub-Saharan Africa,1993,556451898.00,251329534.00,288365172.00,16757192.00,,59142.00
Sub-Saharan Africa,1994,571828603.00,257225651.00,297382646.00,17220306.00,,372608.00
Sub-Saharan Africa,1995,587469624.00,263051122.00,306738276.00,17680227.00,,601706.00
Sub-Saharan Africa,1996,603385639.00,269915593.00,315244190.00,18225856.00,,1083260.00
Sub-Saharan Africa,1997,619607956.00,276678767.00,324178889.00,18750300.00,,2087517.00
Sub-Saharan Africa,1998,636182577.00,283405812.00,333522825.00,19253939.00,,3872303.00
Sub-Saharan Africa,1999,653179863.00,290159877.00,343286812.00,19733174.00,,6466858.00
Sub-Saharan Africa,2000,670649638.00,296989602.00,353474200.00,20185835.00,21.00,11445272.00
Sub-Saharan Africa,2001,688615995.00,304893137.00,362953553.00,20769305.00,802.00,17046727.00
Sub-Saharan Africa,2002,707099850.00,312751054.00,373026693.00,21322104.00,7120.00,25098099.00
Sub-Saharan Africa,2003,726140617.00,320667933.00,383619363.00,21853321.00,31232.00,35687622.00
Sub-Saharan Africa,2004,745788118.00,328761646.00,394652036.00,22374435.00,84939.00,54212996.00
Sub-Saharan Africa,2005,766080507.00,337089475.00,406097001.00,22894031.00,221153.00,90368334.00
Sub-Saharan Africa,2006,787035792.00,346239382.00,417169719.00,23626692.00,480596.00,135233899.00
Sub-Saharan Africa,2007,808660166.00,355497868.00,428810596.00,24351702.00,671709.00,184823777.00
Sub-Saharan Africa,2008,830965556.00,364857131.00,441039480.00,25068944.00,801225.00,261134046.00
Sub-Saharan Africa,2009,853953657.00,374276924.00,453899106.00,25777627.00,947491.00,316759711.00
Sub-Saharan Africa,2010,877628367.00,383734067.00,467411909.00,26482391.00,1345449.00,387953418.00
Sub-Saharan Africa,2011,901989926.00,393711433.00,480965232.00,27313260.00,1654192.00,471725434.00
Sub-Saharan Africa,2012,922478898.00,401713172.00,492794621.00,27971105.00,2095874.00,544447403.00
Sub-Saharan Africa,2013,948083074.00,411519543.00,507768964.00,28794567.00,2971686.00,618078177.00
Sub-Saharan Africa,2014,974271873.00,421247210.00,523389383.00,29635281.00,3612954.00,680980483.00
Sub-Saharan Africa,2015,1001003073.00,430877505.00,539621101.00,30504467.00,3641949.00,751999700.00
Sub-Saharan Africa,2016,1028258098.00,440941221.00,555777271.00,31539606.00,5409234.00,753981173.58
